anno_mese,numero_messaggi
2023-01,17293163
2023-02,18093622
2023-03,23728579
2023-04,12593869
2023-05,21405720
2023-06,15216294
2023-07,17846082
2023-08,13041631
2023-09,15546369
2023-10,17733330
2023-11,32670253
2023-12,13671125
2024-01,31471949
2024-02,23753192
2024-03,22655286
2024-04,22298050
2024-05,30341478
2024-06,44958836
2024-07,31247903
2024-08,20348312
2024-09,26832255
2024-10,25063131
2024-11,27454575
2024-12,48218675
2025-01,38061618
2025-02,29737677
2025-03,30172839
2025-04,25997877
2025-05,35547261
2025-06,27521135
2025-07,32827626
2025-08,23036506
2025-09,42011976
2025-10,33465864
2025-11,13393048
